subject,z1,z2,p1,ce
102917207,8.0,0.0,0.5,3.10000004
102917207,8.0,0.0,0.5,1.875
102917207,10.0,0.0,0.5,3.87500005
102917207,10.0,0.0,0.5,2.75000005
102917208,6.0,0.0,0.5,2.874999996
102917208,6.0,0.0,0.5,3.75
102917208,8.0,0.0,0.5,3.5
102917208,8.0,0.0,0.5,3.875
102917208,10.0,0.0,0.5,3.87500005
102917208,10.0,0.0,0.5,4.375
102917209,6.0,0.0,0.5,2.874999996
102917209,6.0,0.0,0.5,3.375
102917209,8.0,0.0,0.5,3.9
102917209,8.0,0.0,0.5,4.375
102917209,10.0,0.0,0.5,4.875
102917209,10.0,0.0,0.5,5.75000005
102917210,6.0,0.0,0.5,1.125
102917210,6.0,0.0,0.5,1.125
102917210,8.0,0.0,0.5,1.875
102917210,10.0,0.0,0.5,1.5000000499999997
102917210,10.0,0.0,0.5,4.125
102917211,6.0,0.0,0.5,2.37500001
102917211,6.0,0.0,0.5,2.12500002
102917211,8.0,0.0,0.5,3.699999988
102917211,8.0,0.0,0.5,2.625
102917211,10.0,0.0,0.5,3.87500005
102917211,10.0,0.0,0.5,4.375
102917212,6.0,0.0,0.5,3.125000004
102917212,6.0,0.0,0.5,1.875
102917212,8.0,0.0,0.5,3.9
102917212,8.0,0.0,0.5,3.625
102917212,10.0,0.0,0.5,4.875
102917212,10.0,0.0,0.5,3.87500005
102917213,6.0,0.0,0.5,2.874999996
102917213,6.0,0.0,0.5,3.375
102917213,8.0,0.0,0.5,4.75
102917213,10.0,0.0,0.5,5.375000015
102917214,6.0,0.0,0.5,2.874999996
102917214,6.0,0.0,0.5,1.875
102917214,8.0,0.0,0.5,3.9
102917214,8.0,0.0,0.5,2.875
102917214,10.0,0.0,0.5,4.875
102917214,10.0,0.0,0.5,3.37500005
102917215,6.0,0.0,0.5,2.874999996
102917215,6.0,0.0,0.5,2.625
102917215,8.0,0.0,0.5,3.10000004
102917215,8.0,0.0,0.5,3.625
102917215,10.0,0.0,0.5,3.62499995
102917215,10.0,0.0,0.5,3.62499995
102917216,6.0,0.0,0.5,2.874999996
102917216,6.0,0.0,0.5,2.874999996
102917216,8.0,0.0,0.5,2.20000004
102917216,8.0,0.0,0.5,2.875
102917216,10.0,0.0,0.5,2.75000005
102917216,10.0,0.0,0.5,2.75000005
102917219,6.0,0.0,0.5,3.75
102917219,6.0,0.0,0.5,2.874999996
102917219,8.0,0.0,0.5,3.9
102917219,8.0,0.0,0.5,3.875
102917219,10.0,0.0,0.5,5.75000005
102917219,10.0,0.0,0.5,4.875
102917220,6.0,0.0,0.5,3.125000004
102917220,6.0,0.0,0.5,3.125000004
102917220,8.0,0.0,0.5,4.1
102917220,8.0,0.0,0.5,4.125
102917220,10.0,0.0,0.5,5.125
102917220,10.0,0.0,0.5,5.125
102917221,6.0,0.0,0.5,3.75
102917221,6.0,0.0,0.5,2.37500001
102917221,8.0,0.0,0.5,3.9
102917221,8.0,0.0,0.5,2.875
102917221,10.0,0.0,0.5,5.75000005
102917221,10.0,0.0,0.5,3.37500005
102917222,6.0,0.0,0.5,3.125000004
102917222,6.0,0.0,0.5,2.874999996
102917222,8.0,0.0,0.5,4.1
102917222,8.0,0.0,0.5,3.875
102917222,10.0,0.0,0.5,4.875
102917222,10.0,0.0,0.5,4.875
102917223,6.0,0.0,0.5,3.75
102917223,6.0,0.0,0.5,2.874999996
102917223,8.0,0.0,0.5,3.875
102917223,10.0,0.0,0.5,5.75000005
102917223,10.0,0.0,0.5,4.875
102917224,6.0,0.0,0.5,2.874999996
102917224,6.0,0.0,0.5,2.12500002
102917224,8.0,0.0,0.5,2.89999996
102917224,8.0,0.0,0.5,2.875
102917224,10.0,0.0,0.5,4.125
102917224,10.0,0.0,0.5,3.87500005
102917225,6.0,0.0,0.5,3.75
102917225,6.0,0.0,0.5,3.375
102917225,8.0,0.0,0.5,3.9
102917225,8.0,0.0,0.5,4.75
102917225,10.0,0.0,0.5,5.125
102917225,10.0,0.0,0.5,4.375
103014203,6.0,0.0,0.5,2.37500001
103014203,6.0,0.0,0.5,1.875
103014203,8.0,0.0,0.5,3.5
103014203,8.0,0.0,0.5,3.125
103014203,10.0,0.0,0.5,3.87500005
103014203,10.0,0.0,0.5,3.87500005
103014302,6.0,0.0,0.5,3.125000004
103014302,6.0,0.0,0.5,2.625
103014302,8.0,0.0,0.5,4.1
103014302,8.0,0.0,0.5,3.625
103014302,10.0,0.0,0.5,5.125
103014302,10.0,0.0,0.5,4.875
103014304,6.0,0.0,0.5,2.874999996
103014304,6.0,0.0,0.5,2.874999996
103014304,8.0,0.0,0.5,3.9
103014304,8.0,0.0,0.5,3.875
103014304,10.0,0.0,0.5,4.875
103014304,10.0,0.0,0.5,4.875
103014305,6.0,0.0,0.5,2.874999996
103014305,6.0,0.0,0.5,2.874999996
103014305,8.0,0.0,0.5,3.9
103014305,8.0,0.0,0.5,3.875
103014305,10.0,0.0,0.5,4.875
103014305,10.0,0.0,0.5,4.875
103014306,6.0,0.0,0.5,2.874999996
103014306,6.0,0.0,0.5,2.874999996
103014306,8.0,0.0,0.5,3.9
103014306,8.0,0.0,0.5,3.875
103014306,10.0,0.0,0.5,5.75000005
103014306,10.0,0.0,0.5,4.875
103014307,6.0,0.0,0.5,2.37500001
103014307,6.0,0.0,0.5,3.75
103014307,8.0,0.0,0.5,3.10000004
103014307,8.0,0.0,0.5,4.75
103014307,10.0,0.0,0.5,4.375
103014307,10.0,0.0,0.5,6.50000005
103014308,6.0,0.0,0.5,3.75
103014308,6.0,0.0,0.5,3.75
103014308,8.0,0.0,0.5,3.9
103014308,8.0,0.0,0.5,4.75
103014308,10.0,0.0,0.5,4.875
103014308,10.0,0.0,0.5,5.75000005
103014309,6.0,0.0,0.5,3.125000004
103014309,6.0,0.0,0.5,3.125000004
103014309,8.0,0.0,0.5,4.1
103014309,8.0,0.0,0.5,4.125
103014309,10.0,0.0,0.5,5.125
103014309,10.0,0.0,0.5,5.125
103014310,6.0,0.0,0.5,2.874999996
103014310,6.0,0.0,0.5,1.875
103014310,8.0,0.0,0.5,3.9
103014310,8.0,0.0,0.5,2.875
103014310,10.0,0.0,0.5,3.87500005
103014310,10.0,0.0,0.5,3.125
103014311,6.0,0.0,0.5,2.874999996
103014311,6.0,0.0,0.5,2.874999996
103014311,8.0,0.0,0.5,4.1
103014311,8.0,0.0,0.5,3.875
103014311,10.0,0.0,0.5,4.875
103014311,10.0,0.0,0.5,4.875
103014312,6.0,0.0,0.5,2.874999996
103014312,6.0,0.0,0.5,3.125000004
