subject,lottery,z1,z2,p1,ce,female,semester,highincome
1,10,29.15451895043732,11.661807580174926,0.25,14.723032069970843,1,4,0
1,8,11.661807580174926,0.0,0.95,10.20408163265306,1,4,0
1,9,-5.830903790087463,0.0,0.1,-5.1020408163265305,1,4,0
1,1,5.830903790087463,0.0,0.1,1.020408163265306,1,4,0
1,2,29.15451895043732,0.0,0.9,13.848396501457726,1,4,0
1,3,-87.46355685131195,-29.15451895043732,0.05,-71.42857142857143,1,4,0
1,4,11.661807580174926,5.830903790087463,0.5,7.725947521865889,1,4,0
1,5,23.323615160349853,5.830903790087463,0.05,8.892128279883382,1,4,0
1,6,87.46355685131195,0.0,0.5,19.67930029154519,1,4,0
1,7,29.15451895043732,11.661807580174926,0.5,19.97084548104956,1,4,0
1,21,-23.323615160349853,-5.830903790087463,0.25,-20.26239067055393,1,4,0
1,22,-11.661807580174926,0.0,0.75,-6.705539358600583,1,4,0
1,23,11.661807580174926,5.830903790087463,0.9,8.600583090379008,1,4,0
1,24,-29.15451895043732,0.0,0.5,-22.59475218658892,1,4,0
1,25,-29.15451895043732,-11.661807580174926,0.5,-26.96793002915452,1,4,0
1,26,5.830903790087463,0.0,0.9,4.518950437317784,1,4,0
1,27,23.323615160349853,5.830903790087463,0.75,11.51603498542274,1,4,0
1,28,29.15451895043732,0.0,0.5,8.017492711370261,1,4,0
1,29,11.661807580174926,0.0,0.05,0.8746355685131195,1,4,0
1,30,11.661807580174926,5.830903790087463,0.1,6.559766763848396,1,4,0
1,31,-11.661807580174926,-5.830903790087463,0.1,-10.349854227405247,1,4,0
1,32,-5.830903790087463,0.0,0.5,-3.061224489795918,1,4,0
1,33,-11.661807580174926,0.0,0.95,-2.0408163265306123,1,4,0
1,34,-11.661807580174926,-5.830903790087463,0.5,-8.892128279883382,1,4,0
1,35,23.323615160349853,5.830903790087463,0.95,15.014577259475216,1,4,0
1,36,-23.323615160349853,-5.830903790087463,0.5,-19.387755102040817,1,4,0
1,37,87.46355685131195,29.15451895043732,0.05,32.069970845481045,1,4,0
