subject,z1,z2,p1,ce
1,36.496350364963504,7.299270072992701,0.5,7.591240875912409
2,36.496350364963504,7.299270072992701,0.5,11.67883211678832
3,36.496350364963504,7.299270072992701,0.5,13.138686131386862
4,36.496350364963504,7.299270072992701,0.5,13.138686131386862
5,36.496350364963504,7.299270072992701,0.5,13.138686131386862
6,36.496350364963504,7.299270072992701,0.5,13.138686131386862
7,36.496350364963504,7.299270072992701,0.5,14.5985401459854
8,36.496350364963504,7.299270072992701,0.5,14.5985401459854
9,36.496350364963504,7.299270072992701,0.5,14.5985401459854
10,36.496350364963504,7.299270072992701,0.5,14.5985401459854
11,36.496350364963504,7.299270072992701,0.5,14.5985401459854
12,36.496350364963504,7.299270072992701,0.5,14.5985401459854
13,36.496350364963504,7.299270072992701,0.5,14.5985401459854
14,36.496350364963504,7.299270072992701,0.5,14.5985401459854
15,36.496350364963504,7.299270072992701,0.5,14.5985401459854
16,36.496350364963504,7.299270072992701,0.5,14.5985401459854
17,36.496350364963504,7.299270072992701,0.5,14.5985401459854
18,36.496350364963504,7.299270072992701,0.5,14.5985401459854
19,36.496350364963504,7.299270072992701,0.5,14.5985401459854
20,36.496350364963504,7.299270072992701,0.5,14.5985401459854
21,36.496350364963504,7.299270072992701,0.5,14.5985401459854
22,36.496350364963504,7.299270072992701,0.5,14.5985401459854
23,36.496350364963504,7.299270072992701,0.5,14.5985401459854
24,36.496350364963504,7.299270072992701,0.5,17.51824817518248
25,36.496350364963504,7.299270072992701,0.5,18.978102189781023
26,36.496350364963504,7.299270072992701,0.5,20.437956204379564
27,36.496350364963504,7.299270072992701,0.5,21.897810218978105
1,36.496350364963504,7.299270072992701,0.5,7.591240875912409
2,36.496350364963504,7.299270072992701,0.5,10.218978102189782
3,36.496350364963504,7.299270072992701,0.5,10.218978102189782
4,36.496350364963504,7.299270072992701,0.5,11.67883211678832
5,36.496350364963504,7.299270072992701,0.5,11.67883211678832
6,36.496350364963504,7.299270072992701,0.5,11.67883211678832
7,36.496350364963504,7.299270072992701,0.5,11.67883211678832
8,36.496350364963504,7.299270072992701,0.5,11.67883211678832
9,36.496350364963504,7.299270072992701,0.5,13.138686131386862
10,36.496350364963504,7.299270072992701,0.5,13.138686131386862
11,36.496350364963504,7.299270072992701,0.5,13.138686131386862
12,36.496350364963504,7.299270072992701,0.5,13.138686131386862
13,36.496350364963504,7.299270072992701,0.5,13.722627737226276
14,36.496350364963504,7.299270072992701,0.5,14.5985401459854
15,36.496350364963504,7.299270072992701,0.5,14.5985401459854
16,36.496350364963504,7.299270072992701,0.5,14.5985401459854
17,36.496350364963504,7.299270072992701,0.5,14.5985401459854
18,36.496350364963504,7.299270072992701,0.5,14.5985401459854
19,36.496350364963504,7.299270072992701,0.5,14.5985401459854
20,36.496350364963504,7.299270072992701,0.5,14.5985401459854
21,36.496350364963504,7.299270072992701,0.5,14.5985401459854
22,36.496350364963504,7.299270072992701,0.5,14.5985401459854
23,36.496350364963504,7.299270072992701,0.5,14.5985401459854
24,36.496350364963504,7.299270072992701,0.5,14.5985401459854
25,36.496350364963504,7.299270072992701,0.5,18.978102189781023
26,36.496350364963504,7.299270072992701,0.5,20.437956204379564
27,36.496350364963504,7.299270072992701,0.5,21.897810218978105
1,36.496350364963504,7.299270072992701,0.5,7.591240875912409
2,36.496350364963504,7.299270072992701,0.5,8.75912408759124
3,36.496350364963504,7.299270072992701,0.5,8.75912408759124
4,36.496350364963504,7.299270072992701,0.5,10.218978102189782
5,36.496350364963504,7.299270072992701,0.5,12.554744525547443
6,36.496350364963504,7.299270072992701,0.5,12.554744525547443
7,36.496350364963504,7.299270072992701,0.5,10.218978102189782
8,36.496350364963504,7.299270072992701,0.5,11.67883211678832
9,36.496350364963504,7.299270072992701,0.5,11.67883211678832
10,36.496350364963504,7.299270072992701,0.5,11.67883211678832
11,36.496350364963504,7.299270072992701,0.5,11.67883211678832
12,36.496350364963504,7.299270072992701,0.5,11.67883211678832
13,36.496350364963504,7.299270072992701,0.5,13.138686131386862
14,36.496350364963504,7.299270072992701,0.5,14.5985401459854
15,36.496350364963504,7.299270072992701,0.5,14.5985401459854
16,36.496350364963504,7.299270072992701,0.5,14.5985401459854
17,36.496350364963504,7.299270072992701,0.5,14.5985401459854
18,36.496350364963504,7.299270072992701,0.5,14.5985401459854
19,36.496350364963504,7.299270072992701,0.5,14.5985401459854
20,36.496350364963504,7.299270072992701,0.5,14.5985401459854
