subject,z1,z2,p1,ce
1,14.430014430014433,0.0,0.1,2.1645021645021645
1,14.430014430014433,0.0,0.5,7.936507936507937
1,14.430014430014433,0.0,0.9,13.70851370851371
1,28.860028860028866,0.0,0.1,3.607503607503608
1,28.860028860028866,0.0,0.5,15.151515151515152
1,28.860028860028866,0.0,0.9,26.6955266955267
1,86.58008658008659,0.0,0.1,10.101010101010102
1,86.58008658008659,0.0,0.5,44.733044733044736
1,86.58008658008659,0.0,0.9,79.36507936507937
1,144.3001443001443,0.0,0.1,18.75901875901876
1,144.3001443001443,0.0,0.5,72.15007215007215
1,144.3001443001443,0.0,0.9,129.8701298701299
1,288.6002886002886,0.0,0.1,31.746031746031747
1,288.6002886002886,0.0,0.5,147.1861471861472
1,288.6002886002886,0.0,0.9,262.62626262626264
1,288.6002886002886,28.860028860028866,0.1,31.746031746031747
1,288.6002886002886,28.860028860028866,0.5,147.1861471861472
1,288.6002886002886,28.860028860028866,0.9,262.62626262626264
1,288.6002886002886,86.58008658008659,0.1,89.46608946608947
1,288.6002886002886,86.58008658008659,0.5,147.1861471861472
1,288.6002886002886,86.58008658008659,0.9,274.1702741702742
2,14.430014430014433,0.0,0.1,0.7215007215007215
2,14.430014430014433,0.0,0.5,3.607503607503608
2,14.430014430014433,0.0,0.9,10.822510822510823
2,28.860028860028866,0.0,0.1,0.7215007215007215
2,28.860028860028866,0.0,0.5,6.493506493506494
2,28.860028860028866,0.0,0.9,23.80952380952381
2,86.58008658008659,0.0,0.1,4.329004329004329
2,86.58008658008659,0.0,0.5,10.101010101010102
2,86.58008658008659,0.0,0.9,62.04906204906205
2,144.3001443001443,0.0,0.1,2.886002886002886
2,144.3001443001443,0.0,0.5,20.202020202020204
2,144.3001443001443,0.0,0.9,124.0981240981241
2,288.6002886002886,0.0,0.1,8.658008658008658
2,288.6002886002886,0.0,0.5,54.83405483405484
2,288.6002886002886,0.0,0.9,245.3102453102453
2,288.6002886002886,28.860028860028866,0.1,43.29004329004329
2,288.6002886002886,28.860028860028866,0.5,112.55411255411256
2,288.6002886002886,28.860028860028866,0.9,227.994227994228
2,288.6002886002886,86.58008658008659,0.1,101.010101010101
2,288.6002886002886,86.58008658008659,0.5,141.41414141414143
2,288.6002886002886,86.58008658008659,0.9,251.0822510822511
3,14.430014430014433,0.0,0.1,2.1645021645021645
3,14.430014430014433,0.0,0.5,6.493506493506494
3,14.430014430014433,0.0,0.9,12.265512265512266
3,28.860028860028866,0.0,0.1,6.493506493506494
3,28.860028860028866,0.0,0.5,13.70851370851371
